id,txt
A0A286YFK9,SMIM38 (SIM38) | A0A286YFK9
A0A2R8Y4Y8,OOSP4B (OSP4B) | A0A2R8Y4Y8
A0A2R8Y619,H2BE1 (H2BE1) | A0A2R8Y619
A0A2R8Y7D0,TINCR (TINCR) | A0A2R8Y7D0
A0A2R8YCJ5,SMIM41 (SIM41) | A0A2R8YCJ5
A0A2R8YFL7,OOSP4A (OSP4A) | A0A2R8YFL7
A0A2R8YFM6,OOSP3 (OOSP3) | A0A2R8YFM6
A0A2Z4LIS9,FOXO3B (FXO3B) | A0A2Z4LIS9
A0A3B3IT52,MSANTD5 (MSD5) | A0A3B3IT52
A0A494C086,SPDYE21 (SPD21) | A0A494C086
A0A494C0N9,FAM246B (F246B) | A0A494C0N9
A0A494C0Y3,FAM246A (F246A) | A0A494C0Y3
A0A494C0Z2,SPDYE13 (SPD13) | A0A494C0Z2
A0A494C191,SPDYE9 (SPD9) | A0A494C191
A0A539,TRBV4-2 (TVB42) | A0A539
A0A576,TRBV3-1 (TVB31) | A0A576
A0A577,TRBV4-1 (TVB41) | A0A577
A0A578,TRBV5-1 (TVB51) | A0A578
A0A584,TRBV11-2 (TVBK2) | A0A584
A0A589,TRBV4-3 (TVB43) | A0A589
A0A597,TRBV5-5 (TVB55) | A0A597
A0A599,TRBV5-6 (TVB56) | A0A599
A0A5A2,TRBV5-8 (TVB58) | A0A5A2
A0A5A6,TRBV11-3 (TVBK3) | A0A5A6
A0A5B0,TRBV14 (TVB14) | A0A5B0
A0A5B6,TRBV28 (TVB28) | A0A5B6
A0A5B7,TRBV29-1 (TVB29) | A0A5B7
A0A5B9,TRBC2 (TRBC2) | A0A5B9
A0A5F9ZH02,SMIM42 (SIM42) | A0A5F9ZH02
A0A5F9ZHS7,NFILZ (NFILZ) | A0A5F9ZHS7
A0AUZ9,KANSL1L (KAL1L) | A0AUZ9
A0AUZ9-2,KANSL1L (KAL1L) | A0AUZ9-2
A0AUZ9-3,KANSL1L (KAL1L) | A0AUZ9-3
A0AUZ9-4,KANSL1L (KAL1L) | A0AUZ9-4
A0AV02,SLC12A8 (S12A8) | A0AV02
A0AV02-2,SLC12A8 (S12A8) | A0AV02-2
A0AV02-3,SLC12A8 (S12A8) | A0AV02-3
A0AV02-4,SLC12A8 (S12A8) | A0AV02-4
A0AV02-5,SLC12A8 (S12A8) | A0AV02-5
A0AV96,RBM47 (RBM47) | A0AV96
A0AV96-2,RBM47 (RBM47) | A0AV96-2
A0AVF1,TTC26 (IFT56) | A0AVF1
